do,ph,co,bod,na,tc,wqi
7.1,7.8,516.0,0.7,0.5,1238.0,82.03999999999999
6.9,8.0,505.0,0.9,0.7,1563.0,82.03999999999999
7.3,7.3,109.0,2.4,3.4,65.0,88.38
7.5,7.5,83.0,2.1,2.0,74.0,88.38
6.4,7.2,102.0,1.0,0.0,1223.0,82.75999999999999
6.5,7.1,92.0,1.0,0.0,1342.0,82.75999999999999
7.7,7.9,232.0,1.3,0.8,40500.0,71.16
7.5,7.8,519.0,2.1,0.7,53556.0,70.8
7.3,7.2,103.0,0.7,1.7,13810.0,71.52
7.4,7.9,196.0,0.7,0.6,15213.0,71.34
7.4,7.8,244.0,1.9,1.0,12473.0,71.16
7.5,8.0,243.0,1.7,0.9,30319.0,71.16
7.2,8.0,296.0,1.5,0.7,4314.0,82.4
7.5,7.9,194.0,1.0,1.0,8559.0,82.58000000000001
7.4,7.9,170.0,0.8,0.9,16709.0,71.34
6.8,6.6,63.0,2.9,0.1,36.0,84.28
6.6,6.4,101.0,2.5,0.2,41.0,77.5
6.6,6.5,136.0,2.5,0.2,45.0,84.10000000000001
6.7,6.9,226.0,2.2,0.2,38.0,90.34
6.7,6.3,72.0,2.7,0.2,32.0,77.68
6.7,6.4,61.0,4.6,0.1,34.0,73.0
6.7,7.0,461.0,2.5,0.1,51.0,87.66
6.6,6.2,69.0,2.5,0.1,38.0,77.68
6.8,6.9,241.0,2.5,0.1,48.0,90.34
6.5,6.6,159.0,2.4,0.2,41.0,83.92000000000002
6.6,6.7,170.0,2.5,0.2,34.0,87.22000000000001
5.8,7.2,640.0,6.0,4.3,4073.0,71.74000000000001
5.5,7.3,705.0,10.0,5.0,5433.0,67.06
5.5,7.4,745.0,10.0,6.1,29333.0,55.82
5.0,7.6,975.0,16.3,6.1,21667.0,50.199999999999996
5.3,7.2,970.0,13.3,5.9,7133.0,67.06
4.8,7.4,854.0,17.0,4.7,38000.0,50.199999999999996
4.0,6.8,370.0,3.0,0.8,9.0,73.12
7.8,7.8,376.0,1.3,0.4,17.0,93.28
7.7,7.7,354.0,1.3,0.3,22.0,93.28
7.6,7.9,344.0,1.6,0.4,22.0,93.28
4.4,7.1,694.0,41.0,1.2,224.0,67.06
5.9,8.0,401.0,0.9,0.7,15.0,87.66000000000001
6.0,7.2,106.0,0.8,0.4,15.0,94.0
5.6,7.9,326.0,1.1,0.8,4.0,93.28
6.2,8.1,592.0,1.0,0.7,6.0,93.28
7.2,7.5,119.0,2.3,3.8,74.0,88.38
7.2,7.5,120.0,2.3,4.1,67.0,88.38
7.5,7.3,82.0,1.8,2.8,70.0,88.38
7.5,7.5,111.0,2.4,3.0,506.0,82.75999999999999
5.3,3.3,831.0,7.7,3.2,36.0,61.800000000000004
7.2,7.2,56.0,1.7,2.6,42.0,94.18
7.5,7.2,66.0,1.6,2.5,44.0,94.18
7.8,7.0,74.0,2.3,4.3,108.0,88.56
7.3,6.6,274.0,2.5,2.4,386.0,78.12
7.4,7.3,67.0,1.8,2.5,55.0,88.56
7.2,7.4,82.0,2.0,2.8,61.0,88.38
7.3,7.1,55.0,1.9,2.5,53.0,88.56
7.3,7.1,57.0,2.0,2.4,50.0,94.18
6.6,7.1,114.0,2.6,2.8,3108.0,82.75999999999999
7.3,5.6,56.0,1.8,2.1,34.0,77.68
5.1,7.0,105.0,3.6,4.7,780.0,72.46000000000001
7.3,7.1,51.0,1.6,2.4,40.0,94.18
7.7,7.2,50.0,1.6,2.0,36.0,94.18
7.6,7.3,115.0,2.1,3.7,528.0,82.75999999999999
6.2,7.0,81.0,2.4,5.1,79.0,88.38
7.2,7.1,66.0,1.9,3.4,63.0,88.56
7.4,7.1,57.0,1.5,2.9,40.0,94.18
7.5,7.4,144.0,1.7,3.5,59.0,88.38
7.1,7.1,63.0,1.9,5.6,48.0,94.18
7.3,7.2,65.0,1.9,3.3,48.0,94.18
7.3,7.3,65.0,2.0,3.0,54.0,88.56
1.5,6.9,345.0,33.9,16.9,34251.0,30.040000000000003
3.9,7.1,233.0,17.0,10.5,22223.0,44.94
7.2,7.0,66.0,1.9,3.7,60.0,88.56
7.7,7.2,62.0,1.6,3.0,59.0,88.56
7.3,6.9,61.0,2.2,2.0,52.0,85.26
1.2,7.1,380.0,45.7,15.6,94083.0,33.339999999999996
3.2,7.1,258.0,23.5,10.3,54083.0,44.94
7.2,7.2,124.0,6.9,4.5,552.0,73.4
7.2,7.1,65.0,2.1,2.4,120.0,88.56
7.5,7.3,64.0,1.9,3.3,42.0,94.18
7.6,7.3,65.0,1.9,3.8,43.0,94.18
7.2,7.3,275.0,1.5,0.1,68.0,88.02
6.2,7.8,165.0,2.1,0.0,340.0,88.2
6.4,7.8,158.0,4.1,0.5,500.0,83.52000000000001
6.6,7.9,210.0,4.2,1.9,572.0,77.9
7.3,7.9,693.0,0.5,1.0,173.0,87.66
5.3,7.8,817.0,2.8,1.0,23.0,87.66000000000001
5.6,7.5,41.0,2.0,0.08,13410.0,66.08000000000001
5.5,6.7,209.0,0.8,0.17,2915.0,70.36
5.5,7.1,123.0,1.5,0.09,6264.0,77.14000000000001
5.3,7.3,182.0,1.5,0.08,3080.0,76.96000000000001
6.0,7.6,100.0,1.2,0.17,6086.0,82.75999999999999
5.7,6.9,111.0,1.0,0.14,3061.0,73.84
6.4,7.1,140.0,1.1,0.1,7908.0,82.75999999999999
6.2,7.8,44.0,2.0,0.06,9320.0,82.94
6.1,7.6,43.0,1.8,0.06,9554.0,82.94
7.0,6.9,64.0,1.1,0.09,2841.0,79.64000000000001
6.6,6.5,62.0,1.0,0.14,7190.0,73.04
7.0,6.8,304.0,2.0,0.49,23867.0,67.5
7.0,7.0,55.0,1.2,0.66,2813.0,82.94
6.3,7.6,213.0,1.5,0.06,7069.0,82.58000000000001
6.7,6.8,83.0,1.2,0.17,3559.0,79.46000000000001
7.1,6.6,76.0,1.0,0.12,3527.0,72.86000000000001
6.7,6.6,107.0,1.3,0.22,3757.0,72.86000000000001
7.2,6.7,89.0,0.9,0.06,1996.0,76.16
4.2,6.7,192.0,2.0,0.16,9286.0,64.74000000000001
6.3,6.6,79.0,1.6,0.19,6054.0,72.86000000000001
5.6,7.7,142.0,1.7,0.14,3644.0,77.14000000000001
2.8,6.4,424.0,3.2,0.35,21036.0,21.520000000000003
5.2,7.1,306.0,2.6,0.34,1525.0,76.42000000000002
5.6,7.7,40.0,1.5,0.07,7130.0,77.32000000000002
5.5,7.7,40.0,1.5,0.08,12282.0,66.08000000000001
6.9,6.7,63.0,0.9,0.21,1132.0,76.34
6.3,7.6,227.0,1.7,0.08,3612.0,82.4
7.1,6.6,68.0,1.1,0.13,8167.0,73.04
6.9,7.7,121.0,3.3,1.0,163.0,83.7
7.2,8.2,112.0,3.3,1.0,94.0,83.7
6.9,7.7,103.0,3.7,0.57,103.0,83.7
6.9,7.6,104.0,3.5,0.75,79.0,83.7
6.3,8.3,408.0,2.7,1.58,157.0,87.66
6.7,7.8,105.0,3.6,1.0,89.0,83.7
6.3,7.6,209.0,4.4,1.86,98.0,83.52000000000001
7.3,7.7,86.0,3.2,1.0,93.0,83.7
6.3,8.3,999.0,3.3,1.78,112.0,82.98
7.2,7.7,125.0,3.3,1.0,89.0,83.7
7.1,7.5,127.0,3.4,4.4,63.0,83.7
7.2,7.6,127.0,3.2,1.0,51.0,83.7
7.0,7.6,126.0,3.3,1.0,63.0,83.7
7.2,7.6,126.0,3.4,1.89,64.0,83.7
7.1,7.8,112.0,3.2,0.63,88.0,83.7
6.8,7.4,174.0,3.7,2.26,124.0,83.52000000000001
6.8,8.1,167.0,3.8,1.0,85.0,83.52000000000001
6.8,8.0,173.0,3.5,1.0,98.0,83.52000000000001
7.0,8.0,168.0,3.6,1.0,83.0,83.52000000000001
6.9,7.9,131.0,3.5,0.75,96.0,83.7
7.0,7.6,125.0,3.5,0.6,63.0,83.7
7.2,7.5,132.0,3.3,0.9,88.0,83.7
7.2,7.7,119.0,3.3,1.0,68.0,83.7
6.9,7.5,159.0,2.8,1.0,82.0,88.2
6.7,7.7,141.0,3.3,3.0,90.0,83.7
7.3,7.7,132.0,2.9,2.0,88.0,88.38
6.4,7.3,76.0,1.7,0.62,788.0,82.75999999999999
6.0,7.1,85.0,1.7,0.53,538.0,82.75999999999999
6.3,7.1,69.0,1.3,0.57,593.0,82.94
6.5,7.3,76.0,1.6,0.55,545.0,82.75999999999999
6.7,6.6,60.0,1.2,0.34,435.0,78.66000000000001
6.7,7.3,51.0,0.8,0.35,1567.0,82.94
6.9,7.7,107.0,0.7,0.46,443.0,88.38
6.7,7.9,173.0,0.9,0.56,426.0,88.2
5.6,6.9,126.0,1.2,0.67,990.0,73.84
7.3,7.4,70.0,0.8,0.31,4208.0,82.94
7.1,7.4,80.0,0.6,0.5,2831.0,82.75999999999999
7.2,6.9,62.0,1.3,0.11,150.0,85.26
6.4,7.2,120.0,1.9,0.77,618.0,82.75999999999999
6.6,6.9,77.0,1.6,0.29,756.0,79.46000000000001
6.8,7.0,72.0,1.7,0.2,785.0,82.94
2.9,6.7,305.0,2.2,1.28,1623.0,47.34
3.0,6.6,86.0,2.0,0.39,1319.0,56.00000000000001
6.7,7.1,79.0,1.6,0.34,738.0,82.75999999999999
6.9,7.4,112.0,0.5,0.35,67.0,88.38
7.0,6.9,51.0,1.1,0.18,317.0,85.26
7.0,7.1,30.0,0.5,0.32,496.0,88.56
6.1,7.0,59.0,1.8,0.58,282.0,88.56
6.0,6.4,61.0,2.1,0.28,300.0,72.06
6.3,7.0,105.0,2.8,0.37,543.0,82.75999999999999
6.9,8.1,502.0,0.9,0.72,615.0,82.03999999999999
7.8,6.8,49.0,1.4,0.3,319.0,85.26
7.1,7.4,380.0,1.0,0.14,66382.0,70.8
7.3,7.2,67.0,0.9,0.38,3471.0,82.94
6.2,7.2,51.0,0.8,0.23,942.0,82.94
7.2,6.8,69.0,1.2,0.45,941.0,79.64000000000001
6.9,6.7,75.0,2.5,0.4,701.0,76.34
6.3,7.4,113.0,0.6,0.88,128.0,88.38
7.6,6.8,79.0,1.6,0.31,109.0,85.08
7.0,7.2,57.0,0.6,0.46,3558.0,82.94
6.8,7.2,105.0,0.6,0.39,2392.0,82.75999999999999
6.6,7.3,45.0,0.6,0.39,940.0,82.94
6.9,7.2,42.0,0.5,0.18,774.0,82.94
6.0,7.3,92.0,1.7,0.56,597.0,82.75999999999999
6.1,7.2,59.0,0.7,1.04,311.0,88.56
4.2,7.0,69.0,0.6,1.04,420.0,77.32000000000001
7.3,7.0,34.0,1.0,0.27,927.0,82.94
6.3,7.0,44.0,1.6,0.32,1876.0,82.94
6.4,7.2,49.0,1.4,0.23,1357.0,82.94
4.6,7.0,65.0,1.7,0.28,1937.0,71.7
6.5,7.0,42.0,1.4,1.0,1221.0,82.94
6.4,6.4,45.0,1.2,1.0,376.0,72.06
6.0,6.1,56.0,1.2,0.0,438.0,72.06
5.3,6.8,99.0,2.8,0.79,523.0,73.84
6.9,6.7,66.0,1.8,0.0,205.0,81.96000000000001
6.0,6.6,67.0,1.5,3.69,398.0,78.66000000000001
7.1,7.5,46.0,0.8,1.0,1097.0,82.94
6.0,7.3,432.0,1.2,3.0,78.0,87.66
6.1,7.7,328.0,1.2,1.0,211.0,87.66
5.8,7.8,707.0,0.6,0.85,1100.0,76.42000000000002
6.1,8.0,674.0,0.9,1.0,1260.0,82.03999999999999
7.3,7.3,164.0,2.3,1.0,336.0,88.2
7.6,7.4,122.0,2.4,1.0,834.0,82.75999999999999
6.5,7.1,95.0,1.0,0.0,212.0,88.38
6.5,7.1,56.0,1.0,0.0,79.0,88.56
7.5,7.8,237.0,1.4,0.89,18918.0,71.16
7.3,7.5,82.0,1.2,1.58,17512.0,71.52
7.5,8.0,202.0,1.4,1.89,23191.0,71.34
7.3,7.9,232.0,2.9,2.23,30836.0,71.16
7.4,7.9,246.0,2.3,1.9,3900.0,82.4
7.2,7.8,201.0,1.3,1.59,31034.0,71.34
7.3,8.0,221.0,1.2,2.26,5289.0,82.58000000000001
7.2,6.5,73.0,3.1,0.0,59.0,73.98
6.7,6.3,98.0,3.3,1.5,74.0,67.2
6.3,6.5,143.0,4.0,4.0,124.0,73.8
6.6,6.9,260.0,5.4,1.0,53.0,80.04
7.1,6.3,71.0,3.5,1.0,82.0,67.38000000000001
6.9,6.3,65.0,3.5,0.0,52.0,67.38000000000001
7.3,7.1,607.0,3.6,0.88,104.0,82.98
6.1,7.0,446.0,5.2,0.56,77.0,82.98
6.9,6.4,94.0,3.2,1.59,65.0,67.2
6.8,6.8,451.0,9.4,0.55,58.0,75.0
6.0,6.6,169.0,3.9,2.0,84.0,73.62
6.5,6.7,187.0,3.3,3.0,113.0,76.92
5.5,7.2,636.0,9.7,4.0,4975.0,67.06
5.3,7.2,689.0,11.3,4.0,6025.0,67.06
5.3,7.4,852.0,13.0,4.0,26750.0,55.82
4.9,7.5,977.0,16.5,5.0,30500.0,50.199999999999996
5.1,7.3,971.0,14.8,5.0,8425.0,67.06
4.8,7.6,295.0,0.8,0.0,9.0,82.4
7.1,7.5,293.0,1.3,0.0,19.0,93.64
7.1,7.5,316.0,1.4,0.0,22.0,93.28
6.6,7.5,274.0,1.6,0.0,24.0,93.64
